Date,High,Low,Open,Close,Volume,Adj Close
2020-06-01,18.815000534057617,18.56999969482422,18.78499984741211,18.76799964904785,22.0,18.76799964904785
2020-06-02,18.350000381469727,18.207000732421875,18.207000732421875,18.207000732421875,5.0,18.207000732421875
2020-06-03,17.92099952697754,17.645000457763672,17.690000534057617,17.92099952697754,40.0,17.92099952697754
2020-06-04,18.02400016784668,17.850000381469727,17.850000381469727,18.02400016784668,25.0,18.02400016784668
2020-06-05,17.5049991607666,17.44300079345703,17.5,17.44300079345703,12.0,17.44300079345703
2020-06-08,17.885000228881836,17.780000686645508,17.780000686645508,17.868000030517578,15.0,17.868000030517578
2020-06-09,17.829999923706055,17.71500015258789,17.829999923706055,17.77400016784668,3.0,17.77400016784668
2020-06-10,17.775999069213867,17.775999069213867,17.775999069213867,17.775999069213867,0.0,17.775999069213867
2020-06-11,18.084999084472656,17.829999923706055,18.084999084472656,17.868999481201172,5.0,17.868999481201172
2020-06-12,17.75,17.461999893188477,17.75,17.461999893188477,13.0,17.461999893188477
2020-06-15,17.5,17.378999710083008,17.378999710083008,17.378999710083008,1.0,17.378999710083008
2020-06-16,17.75,17.479999542236328,17.545000076293945,17.631999969482422,6.0,17.631999969482422
2020-06-17,17.756999969482422,17.520000457763672,17.520000457763672,17.756999969482422,5.0,17.756999969482422
2020-06-18,17.4950008392334,17.493000030517578,17.493000030517578,17.493000030517578,1.0,17.493000030517578
2020-06-19,17.832000732421875,17.832000732421875,17.832000732421875,17.832000732421875,0.0,17.832000732421875
2020-06-22,17.886999130249023,17.886999130249023,17.886999130249023,17.886999130249023,7.0,17.886999130249023
2020-06-23,18.051000595092773,18.0049991607666,18.0049991607666,18.051000595092773,4.0,18.051000595092773
2020-06-24,17.815000534057617,17.658000946044922,17.790000915527344,17.658000946044922,2.0,17.658000946044922
2020-06-25,17.882999420166016,17.7549991607666,17.764999389648438,17.882999420166016,9.0,17.882999420166016
2020-06-26,18.023000717163086,18.023000717163086,18.023000717163086,18.023000717163086,41651.0,18.023000717163086
2020-06-29,18.149999618530273,17.825000762939453,17.969999313354492,17.979999542236328,8797.0,17.979999542236328
