time,price
2021-03-01 03:00:00,26.69099979400635
2021-03-01 04:00:00,26.751999855041504
2021-03-01 05:00:00,26.798499870300294
2021-03-01 06:00:00,26.851499938964842
2021-03-01 07:00:00,26.89449996948242
2021-03-01 08:00:00,26.920999908447264
2021-03-01 09:00:00,26.927000045776367
2021-03-01 10:00:00,26.944500160217284
2021-03-01 11:00:00,26.94600028991699
2021-03-01 12:00:00,26.944000434875488
2021-03-01 13:00:00,26.943500328063966
2021-03-01 14:00:00,26.944500350952147
2021-03-01 15:00:00,26.94600028991699
2021-03-01 16:00:00,26.93550033569336
2021-03-01 17:00:00,26.910000228881835
2021-03-01 18:00:00,26.871000289916992
2021-03-01 19:00:00,26.84800033569336
2021-03-01 20:00:00,26.811000251770018
2021-03-01 21:00:00,26.783500099182127
2021-03-01 23:00:00,26.756999969482422
2021-03-02 00:00:00,26.73050003051758
2021-03-02 01:00:00,26.65550003051758
2021-03-02 02:00:00,26.57400016784668
2021-03-02 03:00:00,26.49650001525879
2021-03-02 04:00:00,26.44099998474121
2021-03-02 05:00:00,26.389499855041503
2021-03-02 06:00:00,26.34849967956543
2021-03-02 07:00:00,26.298999786376953
2021-03-02 08:00:00,26.248499870300293
2021-03-02 09:00:00,26.20599994659424
2021-03-02 10:00:00,26.177499961853027
2021-03-02 11:00:00,26.188500022888185
2021-03-02 12:00:00,26.220999908447265
2021-03-02 13:00:00,26.244499969482423
2021-03-02 14:00:00,26.275
2021-03-02 15:00:00,26.316500091552733
2021-03-02 16:00:00,26.359500122070312
2021-03-02 17:00:00,26.4310001373291
2021-03-02 18:00:00,26.50800018310547
2021-03-02 19:00:00,26.569000244140625
2021-03-02 20:00:00,26.608500289916993
2021-03-02 21:00:00,26.663000297546386
2021-03-02 23:00:00,26.696500396728517
2021-03-03 00:00:00,26.740500450134277
2021-03-03 01:00:00,26.770500564575194
2021-03-03 02:00:00,26.80200061798096
2021-03-03 05:00:00,26.81200065612793
2021-03-03 05:03:00,26.811500549316406
